symptom,disease
"I keep getting red eyes, watery eyes, stinging burn, bright lights are painful and also discharge from eyes recently.",conjunctivitis
"Lately I've been dealing with kinda breathlessness, my throat is killing me, body aches, exhaustion plus can't stop coughing.",covid-19
"I feel losing my taste or smell, exhaustion, a nagging cough, breathlessness and also body aches since a few days.",covid-19
"Over the past few days I've noticed persistent cough, exhaustion, can't swallow properly, body aches, losing my taste or smell and also hard to breathe for a while now.",covid-19
"I'm going through scratchy throat, losing my taste or smell, coughing constantly and body aches and it's getting worse.",covid-19
"I have losing my taste or smell, my throat is killing me, also hard to breathe and it's getting worse.",covid-19
"Lately I've had body aches, running a temperature, losing my taste or smell, low energy plus coughing constantly.",covid-19
Recently I've been having my body's been burning up along with losing my taste or smell since a few days.,covid-19
My problem is feeling feverish and losing my taste or smell.,covid-19
I wanted to tell you about high temperature and coughing constantly.,covid-19
"I keep having coughing constantly, feeling feverish, body aches and always tired.",covid-19
"I wanted to tell you about body aches, losing my taste or smell, always tired and high temperature and I don't know what to do.",covid-19
"I've been having losing my taste or smell, body aches along with high temperature.",covid-19
"I'm suffering from body aches, high temperature, losing my taste or smell and exhaustion recently.",covid-19
"I've been experiencing feeling drained, high temperature, body aches and losing my taste or smell.",covid-19
I keep feelin running a temperature and low energy and I'm worried.,covid-19
"Been having running a temperature, feeling completely worn out, losing my taste or smell and getting winded easily and I don't know what to do.",covid-19
I wanted to tell you about losing my taste or smell as well as tiredness and it's getting worse rly bad,covid-19
"Doctor, I'm dealing with hard to breathe as well as losing my taste or smell.",covid-19
"I keep having losing my taste or smell, my body's been burning up, feeling completely worn out, hard to breathe plus can't stop coughing.",covid-19
"I feel a nagging cough, losing my taste or smell and tiredness since a few days.",covid-19
"I wanted to tell you about body aches, feeling feverish, trouble catching my breath and losing my taste or smell and it's getting worse.",covid-19
keep feeling body aches combined with losing my taste or smell since a few days.,covid-19
I feel body aches and getting winded easily.,covid-19
"I'm suffering from losing my taste or smell, feeling feverish, getting winded easily and body aches.",covid-19
"I wanted to tell you about feeling feverish, hard to breathe and losing my taste or smell.",covid-19
"My problem is pain in my belly, lost my appetite, my body's been burning up, loose watery stools and also bloody movements and I don't know what to do.",crohn's disease
"I feel seeing blood in toilet, can't eat properly, stomach cramps and my body's been burning up.",crohn's disease
"I keep noticing watery movements, also gut pain and I don't know what to do.",crohn's disease
"I've been dealing with blood in my stool, frequent bathroom trips, my body's been burning up, stomach cramps plus not feeling hungry at all.",crohn's disease
"Recently I've been having bloody movements, running a temperature, also watery movements.",crohn's disease
I wanted to tell you about blood in my stool and high temperature since a few days.,crohn's disease
Lately I've had lost my appetite combined with loose watery stools for a while now.,crohn's disease
"I wanted to tell you about tiredness, bloody movements as well as tummy ache recently.",crohn's disease
For a while now I've had tummy ache and exhaustion and it's getting worse.,crohn's disease
"The issue I'm facing is blood in my stool, always tired, losing weight unexpectedly and pain in my belly.",crohn's disease
I'm dealing with feeling drained n also seeing blood in toilet and I'm worried.,crohn's disease
"I keep feeling low energy, bloody movements and tummy ache.",crohn's disease
"Lately I've had feelin completely worn out, unintentional weight drop, stomach cramps and runny stomach since a few days.",crohn's disease
"My problem is gut pain, blood in my stool, loose watery stools and unintentional weight drop recently.",crohn's disease
"I have tiredness, gut pain, dropping weight without trying, high temperature, seeing blood in toilet and also not feeling hungry at all.",crohn's disease
"Been having can't eat properly, running a temperature, loose watery stools, seeing blood in toilet, dropping weight without trying and also gut pain and it's getting worse.",crohn's disease
"My problem is running a temperature, seeing blood in toilet and no desire to eat for a while now.",crohn's disease
"I keep having feeling feverish, always tired, dropping weight without trying, seeing blood in toilet, frequent bathroom trips and pain in my belly recently.",crohn's disease
"What's bothering me is seeing blood in toilet, my body's been burning up, loose watery stools and always tired.",crohn's disease
"I keep experiencing watery movements, tummy ache, tiredness and unintentional weight drop since a few days.",crohn's disease
"I have tummy ache, high temperature, losing weight unexpectedly, blood in my stool, always tired, loose watery stools plus not feeling hungry at all and I'm worried.",crohn's disease
"I've been experiencing seeing blood in toilet, pain in my belly and loose watery stools.",crohn's disease
"Been having tummy ache, seeing blood in toilet, no desire to eat, loose watery stools, feeling drained and my body's been burning up and it's getting worse.",crohn's disease
"I wanted to tell you about stomach cramps, high temperature and lost my appetite.",crohn's disease
"Recently I've started having not feeling hungry at all, seeing blood in toilet, high temperature and runny stomach and it's getting worse.",crohn's disease
"I keep having pain in my belly, seeing blood in toilet, can't eat properly and high temperature and it's getting worse.",crohn's disease
"I've been dealing with always tired, watery movements, high temperature, blood in my stool, stomach cramps and not feeling hungry at all.",crohn's disease
"Been having not feeling hungry at all, watery movements, gut pain and bloody movements and it's getting worse.",crohn's disease
"I have blood in my stool, stomach cramps and dropping weight without trying and I'm worried.",crohn's disease
"Doctor, I'm dealing with blood in my stool, pain in my belly along with losing weight unexpectedly and it's getting worse.",crohn's disease
"Lately I've had seeing blood in toilet, gut pain combined with losing weight unexpectedly and it's getting worse.",crohn's disease
"I keep feeling dropping weight without trying, gut pain and bloody movements rly bad",crohn's disease
"I feel losing weight unexpectedly, blood in my stool and pain in my belly.",crohn's disease
"Lately I've had bloody movements, dropping weight without trying and gut pain.",crohn's disease
"I've been experiencing stomach cramps, blood in my stool along with unintentional weight drop.",crohn's disease
"My problem is queasiness, terrible head pain, also running a temperature for a while now.",dengue
"I've been dealing with throbbing head pain, feeling sick to my stomach, pain behind eyes and my body's been burning up and I don't know what to do.",dengue
"I've been dealing with my head's been pounding, feeling feverish combined with queasiness.",dengue
"I feel queasiness, high temperature, terrible head pain and pain behind eyes.",dengue
"Been having upset stomach, my head's been pounding, my body's been burning up and pain behind eyes and I'm worried.",dengue
Been having pain behind eyes and aching joints.,dengue
"I have my body's been burning up, pain behind eyes along with aching joints recently.",dengue
"I'm suffering from pain behind eyes, constant headaches, joints hurting bad and feeling feverish.",dengue
"Doctor, I'm dealing with aching joints, constant headaches and high temperature.",dengue
"My problem is pain in my joints, also terrible head pain.",dengue
"I keep feeling my head's been pounding, sore muscles, also rash all over my skin.",dengue
"I keep experiencing my muscles hurt, constant headaches and red skin rash.",dengue
"Doctor, I'm dealing with muscle aches, my head's been pounding as well as rash all over my skin.",dengue
"Been having rash all over my skin, muscle aches plus constant headaches.",dengue
"I'm suffering from throbbing head pain, rash all over my skin along with muscle aches since a few days.",dengue
"I've been going through high temperature, my head's been pounding, pain behind eyes, muscle aches, red skin rash plus feeling sick to my stomach for a while now.",dengue
"I wanted to tell you about terrible head pain, joints hurting bad, my body's been burning up, rash all over my skin, my muscles hurt, pain behind eyes and also feeling sick to my stomach.",dengue
"I've been experiencing joints hurting bad, rash all over my skin, body aches all over, queasiness, pain behind eyes, constant headaches and feeling feverish and it's getting worse.",dengue
"I have running a temperature, pain in my joints, queasiness, sore muscles, pain behind eyes and also rash all over my skin.",dengue
"Lately I've had running a temperature, terrible head pain, feeling sick to my stomach, pain behind eyes and muscle aches and it's getting worse.",dengue
I've been dealing with queasiness plus aching joints recently.,dengue
"I've been experiencing feeling feverish, pain in my joints, constant headaches, queasiness and also muscle aches and it's getting worse.",dengue
"Doctor, I've been experiencing my muscles hurt and constant headaches and I'm worried.",dengue
I've been experiencing a bit feeling sick to my stomach and body aches all over since a few days.,dengue
"Been having the urge to vomit, feeling feverish n sore joints and it's getting worse.",dengue
"I feel losing my interest, exhaustion, appetite changes, persistent sadness plus feelings of worthlessness.",depression
"I've been experiencing feels like appetite changes, feelings of worthlessness, persistent sadness, feeling drained and losing my interest and I'm worried.",depression
"I wanted to tell you about can't focus at all, appetite changes, feeling drained, persistent sadness, feelings of worthlessness and losing my interest and I don't know what to do.",depression
"My problem is persistent sadness, appetite changes, feelings of worthlessness, lack of focus, losing my interest and low energy and I'm worried.",depression
"I've been dealing with persistent sadness, losing my interest, always tired, feelings of worthlessness, appetite changes plus lack of focus since a few days.",depression
"I have exhaustion, persistent sadness and can't focus at all.",depression
"I feel tiredness, persistent sadness, mind keeps wandering and losing my interest and it's getting worse.",depression
"I'm struggling with losing my interest, hard to concentrate plus tiredness and I'm worried.",depression
Lately I've had persistent sadness combined with mind keeps wandering since a few days.,depression
"I wanted to tell you about losing my interest along with lack of focus and it's getting worse, kinda worried",depression
"I feel persistent sadness, feelings of worthlessness and always tired.",depression
Recently I've been having losing my interest along with appetite changes since a few days.,depression
these days feeling persistent sadness plus appetite changes and it's getting worse.,depression
"Doctor, I'm dealing with persistent sadness, appetite changes, losing my interest, feelings of worthlessness and low energy and I don't know what to do.",depression
"My problem is low energy, persistent sadness, appetite changes and feelings of worthlessness since a few days.",depression
My problem is sleep disturbances along with always tired since a few days.,depression
"Lately I've had tiredness, losing my interest, persistent sadness, sleep disturbances and feelings of worthlessness and I don't know what to do.",depression
"I've been experiencing feeling completely worn out, sleep disturbances, feelings of worthlessness and losing my interest since a few days.",depression
"doc I've been having feeling completely worn out, losing my interest combined with persistent sadness and I'm worried.",depression
"I keep feelin feelings of worthlessness, persistent sadness, sleep disturbances and losing my interest for a while now.",depression
"I wanted to tell you about feeling completely worn out, hard to concentrate, persistent sadness, appetite changes, sleep disturbances plus losing my interest since a few days.",depression
"I keep feeling persistent sadness, low energy, losing my interest and appetite changes recently.",depression
"Recently I've been having sleep disturbances, losing my interest, lack of focus, appetite changes, persistent sadness and feeling completely worn out since a few days.",depression
"Recently I've been experiencing persistent sadness, low energy as well as appetite changes since a few days.",depression
"I keep feeling can't focus at all, persistent sadness, low energy, appetite changes plus sleep disturbances and it's getting worse.",depression
"I've been experiencing increased hunger, tiredness, frequent urination, slow healing wounds and also excessive thirst and I don't know what to do.",diabetes
"I've been struggling with hazy eyesight, slow healing wounds, frequent urination, excessive thirst n increased hunger and I'm worried.",diabetes
"I'm suffering from hazy eyesight, increased hunger, slow healing wounds and always tired and I don't know what to do.",diabetes
"I'm suffering from frequent urination, slow healing wounds plus feeling drained and I don't know what to do.",diabetes
"I've been dealing with frequent urination, increased hunger, slow healing wounds, tiredness, vision is blurry and also excessive thirst.",diabetes
"Doctor, I'm struggling with frequent urination, exhaustion n increased hunger.",diabetes
"Been having excessive thirst, can't see clearly, increased hunger, low energy, slow healing wounds n frequent urination and I'm worried.",diabetes
"I feel increased hunger, excessive thirst and can't see clearly and it's getting worse.",diabetes
"I'm suffering from tiredness, excessive thirst, frequent urination, increased hunger and can't see clearly for a while now.",diabetes
"I keep having feels like exhaustion, increased hunger, excessive thirst and frequent urination and it's getting worse.",diabetes
"I wanted to tell you about excessive thirst, increased hunger and exhaustion since a few days.",diabetes
"Lately I've had tiredness, increased hunger along with excessive thirst and it's getting worse.",diabetes
"I'm suffering from low energy, increased hunger, also excessive thirst recently.",diabetes
"I feel increased hunger, tiredness combined with excessive thirst and I don't know what to do.",diabetes
"I wanted to tell you about exhaustion, increased hunger combined with excessive thirst.",diabetes
"Recently I've been having excessive thirst, exhaustion along with increased hunger.",diabetes
"I have feeling drained, increased hunger plus excessive thirst for a while now.",diabetes
"I feel increased hunger, excessive thirst along with feeling drained and I don't know what to do.",diabetes
"I wanted to tell you about low energy, increased hunger combined with excessive thirst.",diabetes
"I've been dealing with excessive thirst, exhaustion combined with increased hunger and I'm worried.",diabetes
"Recently I've been having increased hunger, unintentional weight drop, frequent urination and low energy for a while now.",diabetes
"Been having kinda increased hunger, losing weight unexpectedly, excessive thirst, slow healing wounds and also hazy eyesight recently.",diabetes
"I have increased hunger, losing weight unexpectedly, vision is blurry, feeling completely worn out, frequent urination plus excessive thirst.",diabetes
"Recently I've been dealing with feeling completely worn out, excessive thirst and increased hunger recently.",diabetes
"Been having frequent urination, unintentional weight drop, increased hunger, excessive thirst, exhaustion and vision is blurry.",diabetes
"I feel low energy, frequent urination as well as hazy eyesight.",diabetes
"I keep feeling always tired, frequent urination as well as dropping weight without trying and I'm worried.",diabetes
"I've been experiencing feeling completely worn out, fuzzy vision, slow healing wounds, unintentional weight drop and frequent urination.",diabetes
"Lately I've had slow healing wounds, increased hunger, exhaustion and excessive thirst since a few days.",diabetes
"I keep having tiredness, frequent urination, also losing weight unexpectedly and I don't know what to do.",diabetes
"I've been experiencing slow healing wounds, excessive thirst, losing weight unexpectedly, frequent urination plus tiredness and it's getting worse.",diabetes
"Doctor, I'm dealing with frequent urination, excessive thirst as well as dropping weight without trying recently.",diabetes
"I keep having feeling drained, excessive thirst combined with unintentional weight drop and I don't know what to do.",diabetes
"Been having always tired, frequent urination, slow healing wounds, unintentional weight drop and excessive thirst recently.",diabetes
I'm troubled by frequent urination plus excessive thirst.,diabetes
"Recently I've been having losing weight unexpectedly, excessive thirst, slow healing wounds, frequent urination and also low energy and it's getting worse.",diabetes
"My problem is frequent urination, excessive thirst as well as slow healing wounds and it's getting worse.",diabetes
"I keep feeling slow healing wounds, unintentional weight drop, frequent urination and exhaustion for a while now.",diabetes
I'm suffering from slow healing wounds along with frequent urination.,diabetes
Lately I've had unintentional weight drop plus slow healing wounds for a while now.,diabetes
"Been having feels like fuzzy vision, slow healing wounds, losing weight unexpectedly and frequent urination and I don't know what to do.",diabetes
"I keep feelin dropping weight without trying, increased hunger, excessive thirst, slow healing wounds plus vision is blurry and it's getting worse.",diabetes
"I'm going through excessive thirst, increased hunger, slow healing wounds, can't see clearly and dropping weight without trying recently.",diabetes
"Been having excessive thirst, slow healing wounds, dropping weight without trying and vision is blurry since a few days.",diabetes
"I keep feeling excessive thirst, can't see clearly as well as frequent urination and it's getting worse.",diabetes
"I'm suffering from increased hunger, excessive thirst, can't see clearly and losing weight unexpectedly and it's getting worse.",diabetes
"I wanted to tell you about increased hunger, frequent urination, fuzzy vision, losing weight unexpectedly plus slow healing wounds.",diabetes
"Recently I've been having slow healing wounds, fuzzy vision, frequent urination, increased hunger and also excessive thirst and I don't know what to do.",diabetes
"I have excessive thirst, fuzzy vision, slow healing wounds, increased hunger and also unintentional weight drop and I don't know what to do.",diabetes
"I have frequent urination, excessive thirst, increased hunger, fuzzy vision and dropping weight without trying and it's getting worse.",diabetes
"My problem is feeling sick to my stomach, lightheadedness combined with breathing difficulty.",drug reaction
"I keep noticing visible swelling, can't stop itching, breathing difficulty, wooziness, skin breaking out in rash and the urge to vomit since a few days.",drug reaction
"I wanted to tell you about itchy skin, queasiness, puffiness, dizzy spells, breathing difficulty plus rash all over my skin and I don't know what to do.",drug reaction
"Been having red skin rash, breathing difficulty, swollen area and upset stomach.",drug reaction
"I'm suffering from visible swelling, a spinning feeling combined with can't stop itching.",drug reaction
"I wanted to tell you about my body looks swollen, wooziness, itchy skin and red skin rash recently.",drug reaction
"I've been experiencing breathing difficulty, visible swelling, the urge to vomit and lightheadedness since a few days.",drug reaction
"The issue I'm facing is constant scratching, feeling sick to my stomach and feeling unsteady for a while now.",drug reaction
"Doctor, I'm dealing with swollen area, breathing difficulty, rash all over my skin, feeling unsteady and constant scratching recently.",drug reaction
"I'm dealing with visible swelling, dizzy spells, can't stop itching and skin breaking out in rash and it's getting worse.",drug reaction
I've been experiencing breathing difficulty as well as my body's been burning up since a few days.,drug reaction
"I keep feeling my body's been burning up, breathing difficulty and visible swelling and it's getting worse.",drug reaction
I have breathing difficulty along with my body looks swollen and it's getting worse.,drug reaction
I've been dealing with breathing difficulty plus skin breaking out in rash recently.,drug reaction
"I've been dealing with skin breaking out in rash, visible swelling along with feeling feverish and I'm worried.",drug reaction
"got breathing difficulty, high temperature and rash all over my skin.",drug reaction
"Recently I've been having red skin rash, my body looks swollen, my body's been burning up and breathing difficulty.",drug reaction
"Been having my body's been burning up, my body looks swollen plus skin breaking out in rash.",drug reaction
I've been experiencing swollen area plus rash all over my skin.,drug reaction
"I keep feeling my body looks swollen, rash all over my skin, breathing difficulty and running a temperature since a few days.",drug reaction
"I keep having my body's been burning up, can't stop itching, rash all over my skin and feeling unsteady and I don't know what to do.",drug reaction
"Doctor, I've been having dizzy spells, constant scratching, high temperature and puffiness.",drug reaction
"I feel can't stop itching, rash all over my skin, wooziness, swollen area plus my body's been burning up and it's getting worse.",drug reaction
"I have high temperature, upset stomach, puffiness, red skin rash, feeling unsteady and also constant scratching and it's getting worse.",drug reaction
"Over the past few days I've noticed swollen area, feeling feverish, rash all over my skin n can't stop itching.",drug reaction
"I have high temperature, can't stop itching as well as lightheadedness and it's getting worse.",drug reaction
"I wanted to tell you about visible swelling, a spinning feeling, itchy skin and my body's been burning up and I don't know what to do.",drug reaction
"I keep experiencing puffiness, my body's been burning up, rash all over my skin and constant scratching and I'm worried.",drug reaction
"Lately I've been dealing with itchy skin, skin breaking out in rash, puffiness, dizzy spells and the urge to vomit for a while now.",drug reaction
"Lately I've had the urge to vomit, itchy skin, rash all over my skin and swollen area and I don't know what to do.",drug reaction
"Recently I've been having running a temperature, breathing difficulty, swollen area, severe itching and feeling unsteady and I'm worried.",drug reaction
"I keep having itchy skin, breathing difficulty, my body looks swollen and feeling unsteady recently.",drug reaction
"Doctor, I'm dealing with my body's been burning up, constant scratching combined with breathing difficulty.",drug reaction
"I have puffiness, breathing difficulty, high temperature, constant scratching plus skin breaking out in rash and I'm worried.",drug reaction
"I wanted to tell you about puffiness, wooziness, breathing difficulty, skin breaking out in rash, high temperature and can't stop itching.",drug reaction
"Lately I've had breathing difficulty, running a temperature, feeling unsteady and swollen area since a few days.",drug reaction
"Doctor, I'm dealing with rash all over my skin, high temperature, feeling unsteady and can't stop itching recently.",drug reaction
"I've been experiencing severe itching, a spinning feeling, breathing difficulty and red skin rash and it's getting worse.",drug reaction
"I have high temperature, rash all over my skin, swollen area, breathing difficulty and can't stop itching.",drug reaction
"I feel a spinning feeling, running a temperature, breathing difficulty and severe itching and I don't know what to do.",drug reaction
"I have constant scratching, skin breaking out in rash, also breathing difficulty.",drug reaction
"I keep feeling breathing difficulty, severe itching nd red skin rash for a while now.",drug reaction
"I have breathing difficulty, red skin rash and can't stop itching for a while now.",drug reaction
"For a while now I've had breathing difficulty, severe itching along with red skin rash for a while now.",drug reaction
"I wanted to tell you about severe itching, breathing difficulty plus red skin rash.",drug reaction
"I've been dealing with breathing difficulty, skin breaking out in rash combined with can't stop itching for a while now.",drug reaction
"I've been having can't stop itching, rash all over my skin and breathing difficulty and I'm worried.",drug reaction
"Lately I've had breathing difficulty, severe itching as well as skin breaking out in rash.",drug reaction
"I keep having constant scratching, breathing difficulty combined with red skin rash for a while now.",drug reaction
"I keep feelin breathing difficulty, can't stop itching and red skin rash and I'm worried.",drug reaction
"Lately I've had thickened skin, oozing lesions as well as itchy skin recently.",eczema
"Lately I've had itchy skin, oozing lesions plus thickened skin since a few days.",eczema
"Recently I've been having thickened skin, oozing lesions and severe itching and I don't know what to do.",eczema
"Recently I've started having oozing lesions, itchy skin along with thickened skin.",eczema
"Doctor, I'm dealing with itchy skin, thickened skin, also oozing lesions.",eczema
I wanted to tell you about dry skin and cracked skin recently.,eczema
"Lately I've had cracked skin, also constant scratching recently.",eczema
"My problem is cracked skin, oozing lesions, severe itching, dry skin and skin inflammation and I don't know what to do.",eczema
I'm suffering from dry skin combined with oozing lesions and I don't know what to do.,eczema
Been having itchy skin combined with skin inflammation since a few days.,eczema
I keep feelin dry skin and red patches and it's getting worse.,eczema
"I'm suffering from severe itching, oozing lesions and dry skin and it's getting worse.",eczema
"I'm struggling with can't stop itching, oozing lesions and dry skin for a while now.",eczema
I've been experiencing can't stop itching as well as red patches and it's getting worse.,eczema
I've been experiencing can't stop itching and red patches since a few days.,eczema
"I wanted to tell you about cracked skin, thickened skin, skin inflammation, red patches, oozing lesions and constant scratching since a few days.",eczema
"I've been dealing with skin inflammation, cracked skin, severe itching and thickened skin and I don't know what to do.",eczema
"I've been experiencing thickened skin, red patches n also oozing lesions.",eczema
"I'm suffering from skin inflammation, thickened skin and cracked skin.",eczema
"Been having red patches, constant scratching, cracked skin and oozing lesions.",eczema
"Recently I've been having dry skin, skin inflammation, red patches, thickened skin, can't stop itching and also cracked skin and it's getting worse.",eczema
"I keep getting red patches, cracked skin, dry skin, thickened skin and skin inflammation.",eczema
"I have skin inflammation, red patches combined with cracked skin.",eczema
"I have dry skin, cracked skin, red patches, skin inflammation and also can't stop itching recently.",eczema
"Been having cracked skin, thickened skin along with constant scratching, worried",eczema
"I feel mental cloudiness, high temperature, no strength at all, my head's been pounding and also losing my consciousness for a while now.",encephalitis
"I keep feeling throbbing head pain, mental cloudiness, feeling really weak, losing my consciousness and also high temperature for a while now.",encephalitis
"Recently I've been having running a temperature, losing my consciousness, feeling confused, body feels like jelly nd constant headaches and it's getting worse.",encephalitis
"Doctor, I'm dealing with general weakness, running a temperature, also my head's been pounding for a while now.",encephalitis
"Recently I've been experiencing terrible head pain, losing my consciousness, mental cloudiness, no strength at all plus high temperature and I don't know what to do.",encephalitis
"Doctor, I'm dealing with uncontrolled shaking fits, mental cloudiness, feeling really weak, high temperature, losing my consciousness plus my head's been pounding and I don't know what to do.",encephalitis
"I wanted to tell you about feeling confused, feeling feverish, losing my consciousness and terrible head pain.",encephalitis
"I'm suffering from feeling really weak, mental cloudiness, losing my consciousness, running a temperature and also my head's been pounding.",encephalitis
"I'm suffering from high temperature, constant headaches combined with uncontrolled shaking fits and it's getting worse.",encephalitis
"My problem is losing my consciousness, uncontrolled shaking fits and feeling feverish recently.",encephalitis
"I wanted to tell you about bright lights are painful, body feels like jelly, mental cloudiness, losing my consciousness, throbbing head pain and my body's been burning up.",encephalitis
"Been having my body's been burning up, feeling really weak and epileptic attacks for a while now.",encephalitis
"What's bothering me is uncontrolled shaking fits, losing my consciousness, high temperature and throbbing head pain recently.",encephalitis
"Been having running a temperature, feelin confused, losing my consciousness and throbbing head pain since a few days.",encephalitis
"Lately I've had my head's been pounding, photosensitivity, mind feels foggy, no strength at all, my body's been burning up, seizure episodes plus losing my consciousness since a few days.",encephalitis
"I feel losing my consciousness, also light hurts my eyes and it's getting worse.",encephalitis
"Recently I've been having epileptic attacks, also can't think straight and I don't know what to do.",encephalitis
"I feel can't think straight, photosensitivity, no strength at all, convulsions and losing my consciousness.",encephalitis
"I feel epileptic attacks, can't think straight, losing my consciousness and feeling really weak recently.",encephalitis
"Doctor, I've been experiencing epileptic attacks, bright lights are painful, body feels like jelly, losing my consciousness and mind feels foggy recently.",encephalitis
"Been having mental cloudiness, bright lights are painful along with running a temperature.",encephalitis
My problem is mind feels foggy and constant headaches.,encephalitis
"I've been experiencing my body's been burning up, terrible head pain, general weakness and bright lights are painful and I'm worried.",encephalitis
"I've been experiencing my body's been burning up, bright lights are painful, terrible head pain and general weakness.",encephalitis
My problem is constant headaches and no strength at all recently.,encephalitis
"I wanted to tell you about muscle stiffness, mental cloudiness, staring spells and seizure episodes.",epilepsy
"Been having staring spells, muscle stiffness, can't think straight and convulsions since a few days.",epilepsy
I have muscle stiffness as well as staring spells and it's getting worse.,epilepsy
I feel feeling confused and muscle stiffness and I'm worried.,epilepsy
my issue is staring spells combined with muscle stiffness.,epilepsy
"My problem is losing my consciousness, mental cloudiness, anxiety, convulsions plus jerking movements.",epilepsy
"Recently I've been having anxiety, epileptic attacks, jerking movements, mind feels foggy and losing my consciousness.",epilepsy
"I'm suffering from losing my consciousness, jerking movements along with mental cloudiness and I'm worried.",epilepsy
"I keep feeling anxiety, losing my consciousness, feeling confused and seizure episodes.",epilepsy
"I keep having anxiety, seizure episodes, jerking movements and losing my consciousness and it's getting worse.",epilepsy
"I'm suffering from feeling confused, staring spells and epileptic attacks and I'm worried.",epilepsy
"I've been dealing with mental cloudiness, jerking movements, epileptic attacks, muscle stiffness plus staring spells since a few days.",epilepsy
"I feel muscle stiffness, losing my consciousness, can't think straight, staring spells plus seizure episodes recently.",epilepsy
"These days I've been having jerking movements, losing my consciousness, staring spells, uncontrolled shaking fits, feeling confused plus muscle stiffness n it's getting worse.",epilepsy
"I've been experiencing jerking movements, losing my consciousness, staring spells, mind feels foggy and epileptic attacks for a while now.",epilepsy
"I've been experiencing losing my consciousness, staring spells, jerking movements, epileptic attacks and feeling confused since a few days.",epilepsy
"Lately I've had convulsions, anxiety along with losing my consciousness and I'm worried.",epilepsy
"I'm going through can't think straight, anxiety plus jerking movements for a while now.",epilepsy
"Recently I've been having staring spells, anxiety, losing my consciousness, convulsions and also jerking movements.",epilepsy
"Lately I've had mental cloudiness, jerking movements along with anxiety recently.",epilepsy
I keep having staring spells along with jerking movements recently.,epilepsy
"I'm suffering from jerking movements, staring spells combined with anxiety and I don't know what to do.",epilepsy
"I keep noticing staring spells, mind feels foggy, jerking movements and anxiety recently.",epilepsy
"Recently I've been dealing with anxiety, staring spells and jerking movements since a few days.",epilepsy
"I've been experiencing anxiety, mental cloudiness and jerking movements and I don't know what to do.",epilepsy
"Lately I've had scratchy throat, a nagging cough and body aches for a while now.",flu
I keep feelin throbbing head pain along with body aches and I'm worried.,flu
"I keep feeling constant headaches, body aches, painful throat, can't stop coughing and feeling completely worn out and I don't know what to do.",flu
"I keep feeling my head's been pounding, low energy, scratchy throat and body aches and I don't know what to do.",flu
"Been having a nagging cough, body aches, painful throat, always tired and also my head's been pounding and I don't know what to do.",flu
"Doctor, I'm dealing with coughing constantly, constant headaches and scratchy throat.",flu
Lately I've had painful throat plus persistent cough.,flu
I feel terrible head pain and always tired.,flu
I keep feelin my head's been pounding along with tiredness.,flu
"My problem is coughing constantly, low energy, also scratchy throat for a while now.",flu
"I wanted to tell you about chills, can't stop coughing, feeling feverish, body aches, feeling drained plus my head's been pounding and I'm worried.",flu
"I've been experiencing chills, body aches, always tired, terrible head pain and also high temperature.",flu
"I keep having chills, feeling completely worn out and feeling feverish.",flu
"Doctor, I'm dealing with body aches, feeling completely worn out, my body's been burning up, chills, my head's been pounding and also a nagging cough for a while now.",flu
"I've been dealing with coughing constantly, low energy, chills and feeling feverish recently.",flu
"I'm suffering from my head's been pounding, exhaustion, chills, can't stop coughing and running a temperature for a while now.",flu
"I wanted to tell you about coughing constantly, my body's been burning up, terrible head pain and body aches for a while now.",flu
"Recently I've been having running a temperature, can't stop coughing, constant headaches and body aches.",flu
"Doctor, I'm struggling with body aches, constant headaches, a nagging cough, always tired plus chills and it's getting worse.",flu
"Doctor, I'm dealing with coughing constantly, running a temperature, also body aches recently.",flu
"I have can't stop coughing, chills, exhaustion and running a temperature since a few days.",flu
"I wanted to tell you about painful throat, feeling drained, coughing constantly and running a temperature since a few days.",flu
"I feel can't swallow properly, chills, body aches, persistent cough and also feeling completely worn out and I'm worried.",flu
"Recently I've been having can't stop coughing, chills, body aches n can't swallow properly.",flu
"I keep having chills, scratchy throat, body aches and my body's been burning up.",flu
"I've been experiencing feelin drained, a nagging cough, body aches and can't swallow properly recently.",flu
"Been having coughing constantly, chills, feeling drained and scratchy throat and I don't know what to do.",flu
"I've been dealing with body aches, feeling completely worn out, feeling feverish nd persistent cough.",flu
"I'm dealing with feeling feverish, can't swallow properly, chills, coughing constantly, body aches and exhaustion and I'm worried.",flu
"I wanted to tell you about can't swallow properly, chills, body aches and persistent cough.",flu
"I keep experiencing always tired, can't swallow properly, chills and can't stop coughing.",flu
"I'm troubled by scratchy throat, body aches, constant headaches, high temperature, tiredness and also a nagging cough since a few days.",flu
"I keep having feeling completely worn out, throbbing head pain, can't stop coughing, feeling feverish, chills, body aches n also can't swallow properly since a few days.",flu
"Been having running a temperature, tiredness, can't stop coughing and terrible head pain for a while now.",flu
"I'm suffering from body aches, feeling feverish, chills, a nagging cough, low energy and can't swallow properly for a while now.",flu
"I'm suffering from running a temperature, body aches, my head's been pounding, chills nd also a nagging cough.",flu
"Been having chills, tiredness, terrible head pain, feeling feverish, a nagging cough, body aches and also my throat is killing me recently.",flu
"Over the past few days I've noticed can't swallow properly, can't stop coughing, high temperature, chills, body aches plus tiredness and I'm worried.",flu
"I wanted to tell you about coughing constantly, scratchy throat, feeling feverish, body aches and also chills.",flu
